Column 1,Column 2,Column 3,Column 4
RSM341H1 - Model-Based Decision Making,"This course aims to introduce logically disciplined approaches to decision making under uncertainty. Managers are continually barraged with information that may be unreliable. They must choose courses of action in the face of many uncertainties. How can we define and assess the ""optimality"" of their decisions in a consistent manner? By building upon the answers to these questions, the course will consider the problem of rational choice when the outcome is determined by the actions of, and interactions between, multiple individuals. Not eligible for CR/NCR option. Contact Rotman Commerce for details.","Completion of 9.0 credits, ECO204Y1/ECO206Y1, ECO220Y1/ECO227Y1/(STA220H1, STA255H1)/(STA237H1, STA238H1)/(STA257H1, STA261H1)",
RSM350H1 - Marketing Management,"This course employs the case method of instruction to develop the skills required of marketing managers. Students will learn to diagnose marketing problems and develop, present, and defend their recommendations. They will also gain experience analyzing marketing situations, identifying market opportunities, developing marketing strategies, and designing the marketing mix. Not eligible for CR/NCR option. Contact Rotman Commerce for details.",RSM250H1,
RSM352H1 - Marketing Research,"Marketing research is studied from the perspective of the marketing manager. The course focuses on the initiation, design, and interpretation of research as an aid to marketing decision making. Case studies and projects are used to provide students with some practical research experiences. Not eligible for CR/NCR option. Contact Rotman Commerce for details.","ECO220Y1/ECO227Y1/(STA220H1, STA255H1)/(STA237H1, STA238H1)/(STA257H1, STA261H1)",
RSM353H1 - Consumer Behaviour,"Formulating successful marketing strategies requires an understanding of consumers’ cultures, motivations, cognitions, and emotions. Students will learn how to use theoretical perspectives from psychology, economics, anthropology, and other disciplines to generate predictions about consumers, interpret consumer reactions to marketing stimuli, and develop rigorous skills in marketing analysis. Not eligible for CR/NCR option. Contact Rotman Commerce for details.",,
RSM355H1 - Managing Customer Value,"This course builds on the foundation developed in RSM250H1 (Principles of Marketing) in a competitive simulation environment. While RSM250H1 focuses on the fundamental marketing elements for operationalizing this basic philosophy - segmentation, targeting, positions and 3 of the 4 Ps, this course is designed to advance a participant's understanding of designing and implementing marketing strategies and explore the management of the 4th P (promotion) in greater depth. In particular, participants will make decisions about all 4 Ps simultaneously and manage the interactions between them. Not eligible for CR/NCR.",RSM250H1 and completion of 9.0 credits,
RSM358H1 - Foundations of AI for Management,"Artificial intelligence — the application of machine-learning techniques to prediction problems historically performed by humans — is transforming business and society. This course provides a hands-on introduction to the wide variety of algorithms used in applications of machine-learning. The technical topics will include linear and non-linear regression models, classification algorithms, and more recent machine-learning techniques rooted in neuroscience like reinforcement learning and deep learning. Application topics will include predicting consumer choices, MLB salaries, and Super Mario Bros. There will be an emphasis on conceptual understanding, so that students can interpret the results of these techniques to support effective decision-making. The course will be complemented by many hands-on exercises using the R programming language.","ECO220Y1/ECO227Y1/(STA220H1, STA255H1)/(STA237H1, STA238H1)/(STA257H1, STA261H1), CSC108H1/CSC148H1",
RSM361H1 - Human Resource Management,"Human resource management is studied from the perspective of the manager/practitioner. The course focuses on decisions about when and whom to hire, how much to pay, what training to offer, and how to evaluate employees. Class exercises and projects are used to provide students with some practical experience with these topics. Not eligible for CR/NCR option. Contact Rotman Commerce for details.",RSM260H1,
RSM362H1 - Leading Across Differences,This course makes linkages between a leader's stance and how strong preferences come to life and influence perspectives at the individual and organizational level. There is a deep exploration of one's knowledge system and a particular focus upon uncovering innovative frames around diversity that directly impact organizational strategy. Not eligible for CR/NCR option.,,
RSM370H1 - Supply Chain Management,Globalization increasingly intertwines the Canadian and world economies. Understanding how firms can successfully link with worldwide suppliers and markets is central to growth. Supply chain management issues covered include: advanced inventory and production models; supply contracts; the bullwhip effect; vendor-managed inventories; distribution strategies; third-party logistics; product variety; current information technology. Not eligible for CR/NCR option. Contact Rotman Commerce for details.,Completion of 9.0 credits,
RSM384H1 - Sports Analytics,"This course applies concepts of analytic management and data analysis to the sports world. The class is intended to deepen the students' ability to apply econometric skills from ECO220Y1. Particular emphasis is given to player management, ""on the field"" decisions and giving the students the opportunity to do their own analysis while learning frontier techniques. The class will introduce students to some basics of coding and econometric analysis in R. No prior coding experience is required, but basic coding will be necessary and the course provides students with new or deepened skills in that area.","ECO220Y1/​ECO227Y1/​(STA220H1, STA255H1)/(STA237H1, STA238H1)/(STA257H1, STA261H1)",
RSM391H1 - Creative Destruction Lab – Introductory Course,"This course is suitable for students interested in pursuing careers in strategy, innovation, entrepreneurship, entrepreneurial finance, new product development, and economic development policy. The course will introduce students to a framework for developing an entrepreneurial strategy. This involves the key choices of customer, competition, technology and identity as well as whether ventures pursue a control versus execution focus. The course will also provide a discussion of intellectual property strategies for technology entrepreneurs.|As part of the preparation for the CDL Advanced course, this course will also introduce you to the business of artificial intelligence. You will explore what machine learning is, what its economic properties are, how it impacts on strategy, its risks and legal implications. As most ventures in the Toronto CDL have AI cores, this will be essential preparation for that as well as an introduction to AI in the real business world.|This course is a prerequisite for students wanting to apply for the Creative Destruction Lab (CDL) Advanced Course RSM2013Y/RSM498Y1 where students will have the opportunity to work directly with a CDL venture. Interested students should familiarize themselves with the Creative Destruction Lab and its various activities prior to registering for this course. You can find more information from our website at www.creativedestructionlab.com.",RSM392H1,
RSM392H1 - Strategic Management,"Introduces core ideas, concepts and models in the area of Strategic Management. Addresses the following questions: Why does firm performance vary across industries, and across firms within a given industry? What types of competitive strategies can managers pursue? When are different types of strategies more or less likely to be successful? Not eligible for CR/NCR option. Contact Rotman Commerce for details.",Completion of 9.0 credits; RSM219H1; RSM222H1,
RSM393H1 - Strategic Case Analysis,"This course provides students with the opportunity to hone the critical skills of effective presentation, decisiveness and business acumen with a focus on learning-by-doing. Students will analyze and recommend solutions to business problems and develop abilities to present and defend recommendations in an impactful and effective manner. Not eligible for CR/NCR option. Contact Rotman Commerce for details.",Completion of 9.0 credits; RSM392H1,
RSM394H1 - Social Entrepreneurship,"In this course, students will learn how entrepreneurs create organizations that address social problems using innovative, sustainable approaches. Students will examine a variety of social venture forms and consider how such ventures can be evaluated, managed, and financed. Not eligible for CR/NCR option. Contact Rotman Commerce for details.",Completion of 9.0 credits,
MGT395Y0 - Special Topics,The area of concentration and location depend on the instructor teaching the course. (Offered only during the Summer Session through the Summer Abroad Program). Contact Rotman Commerce for details.,,
RSM395Y0 - Special Topics,The areas of concentration depend on the instructor teaching the course. (Offered only during the summer through the Woodsworth Summer Abroad Program). Not eligible for CR/NCR option. Contact Rotman Commerce for details.,,
MGT396Y0 - Special Topics,The area of concentration and location depend on the instructor teaching the course. (Offered only during the Summer Session through the Summer Abroad Program). Contact Rotman Commerce for details.,,
RSM396Y0 - Special Topics,The area of concentration and location depend on the instructor teaching the course. (Offered only during the Summer Session through the Summer Abroad Program). Not eligible for CR/NCR option. Contact Rotman Commerce for details.,,
MGT397Y0 - Special Topics,The area of concentration and location depend on the instructor teaching the course. (Offered only during the Summer Session through the Summer Abroad Program). Contact Rotman Commerce for details.,,
RSM397Y0 - Special Topics,The area of concentration and location depend on the instructor teaching the course. (Offered only during the Summer Session through the Summer Abroad Program). Not eligible for CR/NCR option. Contact Rotman Commerce for details.,,
MGT401H1 - Independent Study Course,Open when a faculty member is willing and able to supervise. Students must obtain the approval of the Director of Rotman Commerce and the supervising faculty member before they may enrol. Enrolment is restricted to students not in a Rotman Commerce program. Consult the Rotman Commerce Office for details. Not eligible for CR/NCR option.,Completion of 14.0 credits; Cumulative GPA of at least 2.70,
RSM401H1 - Independent Study Course,Open when a faculty member is willing and able to supervise. Students must obtain the approval of the Director of Rotman Commerce and the supervising faculty member before they may enrol. Consult the Rotman Commerce Office for details. Not eligible for CR/NCR option.,Completion of 14.0 credits; Cumulative GPA of at least 2.70,
MGT402H1 - Independent Study Course,Open when a faculty member is willing and able to supervise. Students must obtain the approval of the Director of Rotman Commerce and the supervising faculty member before they may enrol. Enrolment is restricted to students not in a Rotman Commerce program. Consult the Rotman Commerce Office for details. Not eligible for CR/NCR option.,Completion of 14.0 credits; Cumulative GPA of at least 2.70,
RSM402H1 - Independent Study Course,Open when a faculty member is willing and able to supervise. Students must obtain the approval of the Director of Rotman Commerce and the supervising faculty member before they may enrol. Consult the Rotman Commerce Office for details. Not eligible for CR/NCR option.,Completion of 14.0 credits; Cumulative GPA of at least 2.70,
MGT403Y1 - Independent Study Course,Open when a faculty member is willing and able to supervise. Students must obtain the approval of the Director of Rotman Commerce and the supervising faculty member before they may enrol. Enrolment is restricted to students not in a Rotman Commerce program. Consult the Rotman Commerce Office for details. Not eligible for CR/NCR option.,Completion of 14.0 credits; Cumulative GPA of at least 2.70,
RSM403Y1 - Independent Study Course,Open when a faculty member is willing and able to supervise. Students must obtain the approval of the Director of Rotman Commerce and the supervising faculty member before they may enrol. Consult the Rotman Commerce Office for details. Not eligible for CR/NCR option.,Completion of 14.0 credits; Cumulative GPA of at least 2.70,
RSM404Y1 - Independent Study Course,Open when a faculty member is willing and able to supervise. Students must obtain the approval of the Director of Rotman Commerce and the supervising faculty member before they may enrol. Consult the Rotman Commerce Office for details. Not eligible for CR/NCR option.,Completion of 14.0 credits; Cumulative GPA of at least 2.70,
RSM405H1 - The CEO's Toolkit,"A highly practical course designed for prospective Executives and the Professionals who will work with them. The course develops simple, powerful tools and strategies required to build, run, fix, change and evolve successful organizations. Lectures and case analysis integrate core management concepts from previous courses.",RSM222H1,
RSM410H1 - Special Topics in Management,"Topics and issues in Management. Content in any given year will depend on the instructor. Enrolment is usually restricted to 4th year students, but the course may also be open to 3rd year students in some academic sessions.|Please check the Rotman Commerce website (www.rotmancommerce.utoronto.ca) for a full course description and for specific prerequisites each session.",Completion of 9.0 or 14.0 credits as listed in the full course description in any given session. Please see the Rotman Commerce website for the course description and prerequisites.,
RSM411H1 - Special Topics in Management,"Topics and issues in Management. Content in any given year will depend on the instructor. Enrolment is usually restricted to 4th year students, but the course may also be open to 3rd year students in some academic sessions.|Please check the Rotman Commerce website (www.rotmancommerce.utoronto.ca) for a full course description and for specific prerequisites each session.",Completion of 9.0 or 14.0 credits as listed in the full course description in any given session. Please see the Rotman Commerce website for the course description and prerequisites.,
RSM412H1 - Special Topics in Management,"Topics and issues in Management. Content in any given year will depend on the instructor. Enrolment is usually restricted to 4th year students, but the course may also be open to 3rd year students in some academic sessions.|Please check the Rotman Commerce website (www.rotmancommerce.utoronto.ca) for a full course description and for specific prerequisites each session.",Completion of 9.0 or 14.0 credits as listed in the full course description in any given session. Please see the Rotman Commerce website for the course description and prerequisites.,
RSM413H1 - Special Topics in Management,"Topics and issues in Management. Content in any given year will depend on the instructor. Enrolment is usually restricted to 4th year students, but the course may also be open to 3rd year students in some academic sessions.|Please check the Rotman Commerce website (www.rotmancommerce.utoronto.ca) for a full course description and for specific prerequisites each session.",Completion of 9.0 or 14.0 credits as listed in the full course description in any given session. Please see the Rotman Commerce website for the course description and prerequisites.,
RSM414H1 - Special Topics in Management,"Topics and issues in Management. Content in any given year will depend on the instructor. Enrolment is usually restricted to 4th year students, but the course may also be open to 3rd year students in some academic sessions.|Please check the Rotman Commerce website (www.rotmancommerce.utoronto.ca) for a full course description and for specific prerequisites each session.",Completion of 9.0 or 14.0 credits as listed in the full course description in any given session. Please see the Rotman Commerce website for the course description and prerequisites.,
RSM415H1 - Special Topics in Management,"Topics and issues in Management. Content in any given year will depend on the instructor. Enrolment is usually restricted to 4th year students, but the course may also be open to 3rd year students in some academic sessions.|Please check the Rotman Commerce website (www.rotmancommerce.utoronto.ca) for a full course description and for specific prerequisites each session.",Completion of 9.0 or 14.0 credits as listed in the full course description in any given session. Please see the Rotman Commerce website for the course description and prerequisites.,
RSM416H1 - Special Topics in Management,"Topics and issues in Management. Content in any given year will depend on the instructor. Enrolment is usually restricted to 4th year students, but the course may also be open to 3rd year students in some academic sessions.|Please check the Rotman Commerce website (www.rotmancommerce.utoronto.ca) for a full course description and for specific prerequisites each session.",Completion of 9.0 or 14.0 credits as listed in the full course description in any given session. Please see the Rotman Commerce website for the course description and prerequisites.,
RSM417H1 - Special Topics in Management,"Topics and issues in Management. Content in any given year will depend on the instructor. Enrolment is usually restricted to 4th year students, but the course may also be open to 3rd year students in some academic sessions.|Please check the Rotman Commerce website (www.rotmancommerce.utoronto.ca) for a full course description and for specific prerequisites each session.",Completion of 9.0 or 14.0 credits as listed in the full course description in any given session. Please see the Rotman Commerce website for the course description and prerequisites.,
RSM418H1 - Special Topics in Management,"Topics and issues in Management. Content in any given year will depend on the instructor. Enrolment is usually restricted to 4th year students, but the course may also be open to 3rd year students in some academic sessions.|Please check the Rotman Commerce website (www.rotmancommerce.utoronto.ca) for a full course description and for specific prerequisites each session.",Completion of 9.0 or 14.0 credits as listed in the full course description in any given session. Please see the Rotman Commerce website for the course description and prerequisites.,
RSM419H1 - Special Topics in Management,"Topics and issues in Management. Content in any given year will depend on the instructor. Enrolment is usually restricted to 4th year students, but the course may also be open to 3rd year students in some academic sessions.|Please check the Rotman Commerce website (www.rotmancommerce.utoronto.ca) for a full course description and for specific prerequisites each session.",Completion of 9.0 or 14.0 credits as listed in the full course description in any given session. Please see the Rotman Commerce website for the course description and prerequisites.,
RSM420H1 - Advanced IT Audit and Data Analytics,"This course is an extension of the study of areas covered in the introductory audit course and will include the application of risk and materiality to more advanced topic areas with a focus on digitized information. Other topics include special reports, future-oriented financial information and prospectuses. The course will incorporate the use of data analytics in auditing and will explore how to analyze financial data in order to assist in audit engagements. Not eligible for CR/NCR.",RSM323H1,
